S 1111
W 49848 8
R 49848 8
W 18039 3
R 18039 3
W 7744 13
R 7744 13
W 15441 29
R 15441 29
W 7093 8
R 7093 8
W 31828 18
R 31828 18
W 48637 9
R 48637 9
W 29618 15
R 29618 15
W 28740 25
R 28740 25
W 1366 26
R 1366 26
W 42702 23
R 42702 23
W 42324 15
R 42324 15
W 36050 7
R 36050 7
W 15179 5
R 15179 5
W 6723 15
R 6723 15
W 45118 17
R 45118 17
W 7265 31
R 7265 31
W 55544 20
R 55544 20
W 12652 6
R 12652 6
W 55288 8
R 55288 8
W 33581 7
R 33581 7
W 35413 31
R 35413 31
W 32352 27
R 32352 27
W 34008 13
R 34008 13
W 35530 7
R 35530 7
W 10555 17
R 10555 17
W 28571 12
R 28571 12
W 27544 27
R 27544 27
W 39068 13
R 39068 13
W 3198 12
R 3198 12
W 56511 27
R 56511 27
W 36828 16
R 36828 16
W 37745 9
R 37745 9
W 13250 4
R 13250 4
W 32286 17
R 32286 17
W 53758 26
R 53758 26
W 32775 2
R 32775 2
W 25206 4
R 25206 4
W 31323 7
R 31323 7
W 3339 16
R 3339 16
W 29052 18
R 29052 18
W 5821 6
R 5821 6
W 1238 28
R 1238 28
W 56708 12
R 56708 12
W 10552 30
R 10552 30
W 20562 3
R 20562 3
W 34495 15
R 34495 15
W 57113 18
R 57113 18
W 18691 17
R 18691 17
W 57102 4
R 57102 4
W 16022 26
R 16022 26
W 51309 22
R 51309 22
W 19808 20
R 19808 20
W 48388 22
R 48388 22
W 4657 3
R 4657 3
W 36064 5
R 36064 5
W 85 3
R 85 3
W 17604 16
R 17604 16
W 9715 10
R 9715 10
W 33438 6
R 33438 6
W 3147 15
R 3147 15
W 21796 29
R 21796 29
W 45855 21
R 45855 21
W 36156 18
R 36156 18
W 26392 31
R 26392 31
W 49987 6
R 49987 6
W 15703 15
R 15703 15
W 25675 19
R 25675 19
W 54931 14
R 54931 14
W 12915 26
R 12915 26
W 52062 11
R 52062 11
W 19569 5
R 19569 5
W 25330 8
R 25330 8
W 45279 7
R 45279 7
W 45950 12
R 45950 12
W 47121 21
R 47121 21
W 9838 15
R 9838 15
W 13012 21
R 13012 21
W 16754 28
R 16754 28
W 5551 8
R 5551 8
W 19547 23
R 19547 23
W 20025 17
R 20025 17
W 33955 5
R 33955 5
W 5226 7
R 5226 7
W 46036 9
R 46036 9
W 17403 3
R 17403 3
W 1586 31
R 1586 31
W 27367 25
R 27367 25
W 8610 22
R 8610 22
W 53769 19
R 53769 19
W 28484 8
R 28484 8
W 29929 25
R 29929 25
W 38736 22
R 38736 22
W 28479 24
R 28479 24
W 34766 16
R 34766 16
W 24910 12
R 24910 12
W 15840 12
R 15840 12
W 32220 13
R 32220 13
W 25100 30
R 25100 30
W 7610 1
R 7610 1
W 47396 19
R 47396 19
W 46356 21
R 46356 21
W 4641 7
R 4641 7
W 10362 21
R 10362 21
W 23489 12
R 23489 12
W 51427 24
R 51427 24
W 25759 14
R 25759 14
W 16567 7
R 16567 7
W 9611 26
R 9611 26
W 54450 19
R 54450 19
W 13540 29
R 13540 29
W 33155 17
R 33155 17
W 1416 28
R 1416 28
W 13640 21
R 13640 21
W 37285 13
R 37285 13
W 23925 29
R 23925 29
W 46263 23
R 46263 23
W 10784 16
R 10784 16
W 21124 28
R 21124 28
W 39580 22
R 39580 22
W 3359 11
R 3359 11
W 31051 22
R 31051 22
W 49485 29
R 49485 29
W 36269 23
R 36269 23
W 35321 25
R 35321 25
W 29745 31
R 29745 31
W 39008 9
R 39008 9
W 4515 25
R 4515 25
W 5395 9
R 5395 9
W 50557 27
R 50557 27
W 31214 4
R 31214 4
W 12675 19
R 12675 19
W 21884 6
R 21884 6
W 54654 20
R 54654 20
W 28222 4
R 28222 4
W 22086 7
R 22086 7
W 5019 20
R 5019 20
W 3355 2
R 3355 2
W 35221 23
R 35221 23
W 39872 6
R 39872 6
W 48425 31
R 48425 31
W 45676 2
R 45676 2
W 17830 16
R 17830 16
W 4978 11
R 4978 11
W 2811 8
R 2811 8
W 370 13
R 370 13
W 56289 25
R 56289 25
W 45966 2
R 45966 2
W 20121 28
R 20121 28
W 55646 1
R 55646 1
W 6440 27
R 6440 27
W 14389 9
R 14389 9
W 7990 2
R 7990 2
W 427 29
R 427 29
W 40985 29
R 40985 29
W 31834 4
R 31834 4
W 52572 4
R 52572 4
W 4812 3
R 4812 3
W 53974 30
R 53974 30
W 19900 13
R 19900 13
W 48941 15
R 48941 15
W 25274 14
R 25274 14
W 16932 18
R 16932 18
W 3180 6
R 3180 6
W 40789 31
R 40789 31
W 19860 9
R 19860 9
W 5486 9
R 5486 9
W 50496 6
R 50496 6
W 51994 22
R 51994 22
W 40304 1
R 40304 1
W 25686 2
R 25686 2
W 2166 14
R 2166 14
W 18577 6
R 18577 6
W 9397 25
R 9397 25
W 384 25
R 384 25
W 6456 7
R 6456 7
W 41376 24
R 41376 24
W 23483 13
R 23483 13
W 29242 29
R 29242 29
W 29825 22
R 29825 22
W 11761 19
R 11761 19
W 43533 21
R 43533 21
W 26591 14
R 26591 14
W 22533 5
R 22533 5
W 13881 26
R 13881 26
W 40492 21
R 40492 21
W 3904 5
R 3904 5
W 35907 2
R 35907 2
W 33252 14
R 33252 14
W 29496 9
R 29496 9
W 9066 27
R 9066 27
W 9233 12
R 9233 12
W 2146 31
R 2146 31
W 43214 26
R 43214 26
W 42996 6
R 42996 6
W 19500 25
R 19500 25
W 57188 11
R 57188 11
W 6470 16
R 6470 16
W 25992 6
R 25992 6
W 31292 25
R 31292 25
W 18112 21
R 18112 21
W 54865 25
R 54865 25
W 40715 10
R 40715 10
W 36305 31
R 36305 31
W 13197 16
R 13197 16
W 42068 27
R 42068 27
W 36217 21
R 36217 21
W 7169 25
R 7169 25
W 10291 26
R 10291 26
W 53368 14
R 53368 14
W 49694 31
R 49694 31
W 34317 19
R 34317 19
W 4830 16
R 4830 16
W 10438 31
R 10438 31
W 4254 21
R 4254 21
W 46120 17
R 46120 17
W 39787 1
R 39787 1
W 36191 31
R 36191 31
W 3342 1
R 3342 1
W 23399 3
R 23399 3
W 15418 4
R 15418 4
W 22418 23
R 22418 23
W 43041 2
R 43041 2
W 24463 10
R 24463 10
W 6242 2
R 6242 2
W 32892 22
R 32892 22
W 11436 26
R 11436 26
W 48130 9
R 48130 9
W 50653 10
R 50653 10
W 30705 29
R 30705 29
W 26571 29
R 26571 29
W 11738 7
R 11738 7
W 54930 18
R 54930 18
W 15789 8
R 15789 8
W 46699 31
R 46699 31
W 9275 29
R 9275 29
W 39120 3
R 39120 3
W 48217 25
R 48217 25
W 53088 3
R 53088 3
W 12614 24
R 12614 24
W 19440 23
R 19440 23
W 49730 1
R 49730 1
W 55371 21
R 55371 21
W 38951 25
R 38951 25
W 25357 14
R 25357 14
W 29860 29
R 29860 29
W 23601 30
R 23601 30
W 44559 6
R 44559 6
W 15800 6
R 15800 6
W 13924 31
R 13924 31
W 25809 17
R 25809 17
W 9929 7
R 9929 7
W 38509 15
R 38509 15
W 16018 17
R 16018 17
W 7947 28
R 7947 28
W 19856 17
R 19856 17
W 8602 23
R 8602 23
W 50072 3
R 50072 3
W 44567 22
R 44567 22
W 30734 9
R 30734 9
W 43991 14
R 43991 14
W 48125 12
R 48125 12
W 28465 6
R 28465 6
W 23244 26
R 23244 26
W 21961 25
R 21961 25
W 49421 15
R 49421 15
W 35791 21
R 35791 21
W 38971 23
R 38971 23
W 43768 16
R 43768 16
W 34826 15
R 34826 15
W 18086 16
R 18086 16
W 5376 29
R 5376 29
W 50540 12
R 50540 12
W 8742 15
R 8742 15
W 29784 21
R 29784 21
W 33961 4
R 33961 4
W 26343 26
R 26343 26
W 10296 11
R 10296 11
W 51891 29
R 51891 29
W 41730 8
R 41730 8
W 54324 29
R 54324 29
W 56086 27
R 56086 27
W 11237 7
R 11237 7
W 33344 15
R 33344 15
W 27166 25
R 27166 25
W 32993 1
R 32993 1
W 49124 26
R 49124 26
W 55557 11
R 55557 11
W 36474 25
R 36474 25
W 14548 7
R 14548 7
W 30048 14
R 30048 14
W 8961 13
R 8961 13
W 56868 21
R 56868 21
W 53856 5
R 53856 5
W 44605 28
R 44605 28
W 2387 4
R 2387 4
W 55665 29
R 55665 29
W 629 5
R 629 5
W 30650 14
R 30650 14
W 48180 19
R 48180 19
W 36607 17
R 36607 17
W 29341 11
R 29341 11
W 4855 14
R 4855 14
W 5171 16
R 5171 16
W 26317 13
R 26317 13
W 25667 17
R 25667 17
W 51845 27
R 51845 27
W 55414 30
R 55414 30
W 37502 20
R 37502 20
W 45440 1
R 45440 1
W 24633 10
R 24633 10
W 49965 4
R 49965 4
W 32572 2
R 32572 2
W 16129 6
R 16129 6
W 19031 28
R 19031 28
W 47311 17
R 47311 17
W 22602 9
R 22602 9
W 18489 20
R 18489 20
W 46862 12
R 46862 12
W 44210 24
R 44210 24
W 35188 21
R 35188 21
W 6665 15
R 6665 15
W 38970 6
R 38970 6
W 23715 2
R 23715 2
W 48470 14
R 48470 14
W 35699 5
R 35699 5
W 35063 4
R 35063 4
W 22329 26
R 22329 26
W 5186 14
R 5186 14
W 7978 13
R 7978 13
W 37231 20
R 37231 20
W 14319 19
R 14319 19
W 17253 22
R 17253 22
W 13563 18
R 13563 18
W 56469 9
R 56469 9
W 14415 22
R 14415 22
W 12963 17
R 12963 17
W 55811 12
R 55811 12
W 9432 16
R 9432 16
W 5525 11
R 5525 11
W 9419 13
R 9419 13
W 57277 16
R 57277 16
W 44969 20
R 44969 20
W 54774 15
R 54774 15
W 44337 8
R 44337 8
W 645 12
R 645 12
W 3354 25
R 3354 25
W 10330 22
R 10330 22
W 39581 4
R 39581 4
W 10995 13
R 10995 13
W 24324 14
R 24324 14
W 56636 7
R 56636 7
W 30107 8
R 30107 8
W 15493 18
R 15493 18
W 3558 29
R 3558 29
W 23713 16
R 23713 16
W 37667 11
R 37667 11
W 116 22
R 116 22
W 29524 10
R 29524 10
W 9913 30
R 9913 30
W 52107 31
R 52107 31
W 32550 9
R 32550 9
W 17331 5
R 17331 5
W 2342 4
R 2342 4
W 9430 2
R 9430 2
W 21891 17
R 21891 17
W 22364 17
R 22364 17
W 54658 13
R 54658 13
W 10751 9
R 10751 9
W 18282 12
R 18282 12
W 17441 24
R 17441 24
W 27287 14
R 27287 14
W 49257 26
R 49257 26
W 14866 28
R 14866 28
W 16757 6
R 16757 6
W 37955 17
R 37955 17
W 27145 4
R 27145 4
W 50599 23
R 50599 23
W 47849 21
R 47849 21
W 35854 14
R 35854 14
W 49894 6
R 49894 6
W 17306 4
R 17306 4
W 13393 20
R 13393 20
W 51001 12
R 51001 12
W 11043 12
R 11043 12
W 30261 1
R 30261 1
W 37550 17
R 37550 17
W 18058 4
R 18058 4
W 11223 13
R 11223 13
W 50901 13
R 50901 13
W 49511 25
R 49511 25
W 14926 18
R 14926 18
W 28289 18
R 28289 18
W 55597 31
R 55597 31
W 44738 1
R 44738 1
W 10538 26
R 10538 26
W 18125 8
R 18125 8
W 27627 27
R 27627 27
W 34273 12
R 34273 12
W 39278 20
R 39278 20
W 16840 27
R 16840 27
W 8266 23
R 8266 23
W 45168 29
R 45168 29
W 18318 19
R 18318 19
W 1904 25
R 1904 25
W 2452 23
R 2452 23
W 18811 24
R 18811 24
W 5191 10
R 5191 10
W 17367 16
R 17367 16
W 8550 14
R 8550 14
W 12976 20
R 12976 20
W 17474 18
R 17474 18
W 46934 3
R 46934 3
W 38043 18
R 38043 18
W 849 17
R 849 17
W 3644 31
R 3644 31
W 15789 23
R 15789 23
W 55696 21
R 55696 21
W 38234 18
R 38234 18
W 43620 27
R 43620 27
W 12161 4
R 12161 4
W 17825 24
R 17825 24
W 55259 25
R 55259 25
W 20728 4
R 20728 4
W 1886 8
R 1886 8
W 3660 18
R 3660 18
W 31983 19
R 31983 19
W 29580 20
R 29580 20
W 699 15
R 699 15
W 37245 31
R 37245 31
W 22065 10
R 22065 10
W 2854 9
R 2854 9
W 44608 19
R 44608 19
W 33275 19
R 33275 19
W 1492 30
R 1492 30
W 41061 11
R 41061 11
W 88 30
R 88 30
W 36433 27
R 36433 27
W 8175 31
R 8175 31
W 5095 25
R 5095 25
W 12712 9
R 12712 9
W 8540 1
R 8540 1
W 13506 16
R 13506 16
W 733 15
R 733 15
W 40207 23
R 40207 23
W 48522 26
R 48522 26
W 5139 9
R 5139 9
W 34590 31
R 34590 31
W 36199 25
R 36199 25
W 50670 30
R 50670 30
W 13689 29
R 13689 29
W 43153 23
R 43153 23
W 27737 8
R 27737 8
W 52741 15
R 52741 15
W 13868 10
R 13868 10
W 29590 12
R 29590 12
W 50208 17
R 50208 17
W 54892 13
R 54892 13
W 18906 29
R 18906 29
W 53343 27
R 53343 27
W 28067 6
R 28067 6
W 55850 18
R 55850 18
W 22171 20
R 22171 20
W 1034 7
R 1034 7
W 27234 1
R 27234 1
W 30526 3
R 30526 3
W 28747 10
R 28747 10
W 38317 22
R 38317 22
W 30387 8
R 30387 8
